리뷰키,카테고리 코드,제품명,브랜드,모델코드,리뷰,도움 수,사진 수,댓글 수,텍스트 길이,기본값 1,작성시간,경과시간,인기 점수
6Dy8qjX,BIDET,코웨이,더블케어 비데,BAS37-A,"장점 :
매번 사용 후에 버블 청소가 가능해서 조금 더 위생적인 것 같아요! 
온수 온도 조절도 빠르게 잘 되고 깔끔합니다!

단점 :
비데를 사실 처음 써봐서 비교군이 없어 원래 그런지 모르겠으나
앉는 시트 부분이 약간 좁은 것 같아요.. ㅎㅎ 아무것도 없이 쓰다 비데 쓰니 답답한 느낌.. 원래 비데가 다 그런거겠죠?
",0,1,0,418,1,2022-07-08 16:40:59,149,0.6009049061
6Dy97Jb,BIDET,코웨이,스스로케어 비데 (BAS29-C),BAS29-C,"장점 :
셀프로 살균세척을 안해도 몇번의 사용을 하면 스스로 노즐을 청소해주고 7살아이가 스스로 사용 할 정도로 편하고 좋습니다.

단점 :
아직까지는 단점을 못느끼고 매우 만족을 느끼면서 잘 사용하고 있습니다.
",0,2,0,287,1,2022-07-08 16:45:21,149,0.3008949999
6Dy97Rq,BIDET,SK매직,항균 노즐 비데,BID017DV36WH,"장점 :
사용법이 편리하고 기능이 너무 많아도 복잡한데 군더더기없이 깔끔하고 편리합니다

단점 :
수압이 조금 약한거같은 느낌이 있는데 막 불편한 정도는 아니고 가격대비 괜찮다고 생각듭니다
",0,2,0,262,1,2022-07-08 16:52:32,149,0.3008949999
6Dy97a7,AIRPU,SK매직,올클린 공기청정기 25평형,ACL25C1AS,"장점 :
공기청정기를 처음 사용해보는데 확실히 고기.생선 구우면 알아서 자동으로 냄새를 감지해서좋아요

단점 :
다른 제품을 안써봐서 모르겠지만 강으로 돌리면 소리가 조금커요 맨처음에 깜짝놀랐어요
",0,2,0,274,1,2022-07-08 17:11:43,149,0.3008949999
6Dy97a8,AIRPU,LG,퓨리케어 360° 공기청정기 플러스 19평형,AS191DWFRM,"장점 :
오토모드로 돌려두면 따로신경쓸거 없이 알아서 먼지에 냄새까지 잡아주니 딱히 뭐할게 없어요
24시간 켜두는 가전이다보니 소음이중요한데 그냥 보이면있구나 하는거지 넘조용하고 좋네요^^
2주이상사용하고 필터도 살펴봤는데
아직까지 깨끗하구요~
디자인 이쁜거야뭐 다들아시니
나온지좀 된모델이지만 전 만족합니다

단점 :
아직은 불편한점도 단점이라 할만한것도 없어서.. 
이제 없음 불편하겠죠?
",0,2,0,546,1,2022-07-08 17:12:24,149,1.130040135
6Dy97qe,AIRPU,코웨이,노블 공기청정기 15평형,AP-1521B,"장점 :
공기청청기에 있는 기능이 너무 좋고~~냄새도 잡아주고 공기 자체가 맑야집니다.

단점 :
단점이라곤 지금까지 쓴경우 아예 단점이라고 찾아볼수가 없습니다. 너무좋습니다.
",0,2,0,239,1,2022-07-09 13:57:46,148,-0.1974104856
6Dy9OMa,AIRPU,코웨이,아이콘 공기청정기 10평형,AP-1019D,"장점 :
크기가 적당하고 기능이 뛰어난 듯 싶네요 원룸에 사용하기에 딱 적합합니다.

단점 :
아주 약간의 소음문제는 있으나 그리 신경쓰일정도는 아닙니다. 집안에 공기가 청정해지는지는 잘은 모르겠음
",0,2,0,271,1,2022-08-12 17:46:03,144,0.307287554
6Dy9OMc,BIDET,아이젠,아이젠 쾌변 비데 (청결노즐),IB-110,"장점 :
기능이 뛰어나고 가성비가 좋습니다. 여럿이서 사용하는데 관리가 중요한데 튼튼해보이네요

단점 :
크기에 대한 아쉬움이 좀 있습니다만 그렇게 신경쓰일 정도는 아닙니다.
",0,2,0,240,1,2022-08-12 17:47:20,144,-0.2007687063
6Dy9OQn,AIRPU,LG,퓨리케어 오브제컬렉션 360° 공기청정기 알파 34평형 (일반 필터),AS352NS1A1M,"장점 :
냄새가 나거나 밖에서 미세먼지 들어오면 재빠르게
작동해서 좋아요 ㅎㅎ 

단점 :
ㄱ단점은 딱히 못느끼고있어요 
잘사용 하고있습니다 그나마찾자면 크기 ?
",0,2,0,219,1,2022-08-12 17:51:40,144,-0.2007687063
6Dy9OUs,ELE_RNG,SK매직,SK 올파워 싱글플렉스 [인덕션 3구],IHRBF30CMDSL,"장점 :
색상이 깔끔하고 디스플레이도 직관적이라서 나이 있는 분이 사용하기에도 쉽습니다. 화력은 예전 가스레인지보다 오히려 더욱 빨리 끓는다고 느낄정도로 세서 만족스럽습니다.

단점 :
지금까지는 딱히 단점이 없어요. 하지만 꼽자면 냄비를 새로 사야한다는 것 밖에 없네요
",0,2,0,374,1,2022-08-12 17:55:59,144,0.307287554
6Dy9OZ4,BIDET,SK매직,올클린 버블 살균 비데,BIDS36DR26WH,"장점 :
기존제품과 비교하면 더 깔끔하게 사용할 수 있고 방수면에서도 더 좋은거 같아서 만족이예요~!!

단점 :
지금까지 사용하면서 단점은 따로 못느꼈어요 가격도 저렴해서 너무 만족하고 있어요🙂
",1,2,0,267,1,2022-08-12 18:25:03,144,1.052158948
6Dy9Od6,BIDET,코웨이,더블케어 비데,BAS37-A,"장점 :
브랜드파워가 있어 더 신뢰성 있게 사용중입니다. 정기적인 관리 서비스가 정말 좋습니다.

단점 :
어린이는 사용하지 않고 어른만 사용중인데 수압이 생각보다 약한것 같습니다.
",0,2,0,246,1,2022-08-12 18:37:08,144,-0.2007687063
6Dy9OdF,AIRPU,코웨이,노블 공기청정기 20평형,AP-2021A,"장점 :
진짜 너무 맘에 든다 디자인도 기능도.. 거실에서 방 이동하며 쓰는데 전에 쓰던건 잘때 취침기능으로 예약걸고 다음날 다시 켜야되고 그랬는데 코웨이 공기청정기는 거실에서 쓰다가 방으로 이동하고 잘때 불 끄면 알아서 취침모드로 변경되고 다시 거실로 이동하면 자동모드로 올라온다 어플로 예약까지 맞춰놓고 쓰면 낮시간 사람없을때 잠시 껐다가 집에 들어가는 시간 1시간 전에 켜놓기 예약으로 번거로움없이 편하게 사용이 가능하다 

단점 :
진짜 너무 다 좋은데 팝업이 올라가있을때 수평을 이루진 않는다. 그 외 전부 만족!
",0,2,0,717,1,2022-08-13 9:02:04,143,4.050337342
6Dy9OhG,AIRPU,코웨이,노블 공기청정기 20평형,AP-2021A,"장점 :
일단은 소음자체가 너무조용해서 좋아요 
그리고 외관 디자인이 너무 맘에들어서 좋습니다-
세번째로는 필터를 개인 맞춤형으로 두가지설치할수있어서 좋아요

단점 :
단점은 딱히 없지만 굳이 하나를 고르자면 색상이 더 다양하게 나오면 좋을거같습니다
",0,2,0,348,1,2022-08-13 13:12:09,143,0.3086059827
6Dy9OlO,BIDET,코웨이,더블케어 비데,BAS37-A,"장점 :
편리하고 청소도되고 궁딩이가따뜻해서 너무좋아요 ㅠㅠ굿굿 
너무좋응

단점 :
딱히단점은없어요 너무편하고 좋습니다 
또ㅈ렌탈합니다 좋아요 그냥 다
",0,2,0,214,1,2022-09-02 15:56:33,141,-0.2033801676
6Dy9OlQ,BIDET,코웨이,룰루 프라임 비데,BA36-A,"장점 :
일단 3년 약정 기준으로 가격이 저렴하단 점이 메리트가 있습니다. 수압,온수,변좌 온도까지 세밀 조정이 가능한 점이 좋았어요.

단점 :
아직까지는 크게 단점을 느끼지 못했어요!
원룸 화장실 에서 사용하기에는 크기가 조금 클수도 있습니다.
",0,2,0,331,1,2022-09-02 15:56:58,141,0.3112845393
6Dy9OlR,AIRPU,코웨이,노블 공기청정기 15평형,AP-1521B,"장점 :
정말 조용하고 바퀴덕분에 이동도 편합니다. 직관적인 LED가 운전상태를 쉽게 확인시켜주고 바로 바로 모드를 바꿀수있어서 좋아요.

단점 :
전원 온오프가 조금 불편하고 반려견이 있어서 가족의 알러지때문에 선택했는데 드라마틱한 효과는 없네요 
",0,2,0,340,1,2022-09-02 15:57:08,141,0.3112845393
6Dy9OlS,BIDET,코웨이,더블케어 비데,BAS37-A,"장점 :
기존에 집에서도 잘 사용중이던 제품이라서 사무실에 추가로 설치하였습니다. 세척기능이 제일 마음에 드네요

단점 :
단점은 딱히 없습니다만 스스로 세척 사용시에 거품이 조금 더 나왔으면 좋겠어요
",0,2,0,277,1,2022-09-02 15:57:18,141,0.3112845393
6Dy9OlU,BIDET,코웨이,더블케어 플러스 비데,BAS38-A,"장점 :
우선 신품 사용하니까
너무 좋고 설치 기사님이 친절하게 
설명도 잘해주셔서 문제없이 잘 사용중입니다

단점 :
단점 은 딱히 느껴본적이 없는대
굳이 뽑자면은 비데 뚜껑 자동으로 올라오는 방식이
편하기도하고 불편하기도 합니다
",0,2,0,318,1,2022-09-02 15:57:25,141,0.3112845393
6Dy9OpW,BIDET,코웨이,더블케어 비데,BAS37-A,"장점 :
깔끔한 디자인이며 군더더기 없는 기능들로 구성되어있습니다. 무난한 최신 제품이라 선택하게되었어요.

단점 :
작동부가 변기 옆에 달린타입이아닌 리모콘 타입인데 호불호가 있을것 같습니다. 배터리도 따로 갈아줘야하고 벽면에 3M으로 부착해야하는 점도 있어서요.
",0,2,0,367,1,2022-09-02 15:57:40,141,0.3112845393
6Dy9Oti,BIDET,SK매직,올클린 버블 살균 비데,BIDS36DR26WH,"장점 :
특별히. 공유할꺼 없지안 일단비데안에세정세가 있어서 일을다보구나서 바로 변기를 소독하늕겟 좋읁거 같네요

단점 :
특별히 뷸편한점은 없습니다 근데 밀단베튼눌러도 시헁되기까지 좀결리는겟 불편합니다
",0,2,0,288,1,2022-09-02 16:00:07,141,0.3112845393
6Dy9Oxl,BIDET,코웨이,더블케어 플러스 비데,BAS38-A,"장점 :
도기 청소 uv 버블 자동 개폐 모든 기능 다좋습니다! 특히 방수기능이 물청소 하기 부담없고 너무 좋아요!

단점 :
자동 개폐가 때때로 정확한 인식을 못하고 서서 볼일을 보는데 닫혀 버리고 다가가도 안열리고 이런경우가 많아서 전자 인경우 너무 당황스러워요
",0,1,0,355,1,2022-09-02 16:01:48,141,-0.2361210877
6Dy9Oxr,AIRPU,코웨이,트리플파워 공기청정기 24평형,AP-2318D,"장점 :
사용해본지 얼마 안돼서 아직 잘 모르겠으나 무난 한것 같다  예전에 코웨이 정수기를 사용해서 친근감이 든다

단점 :
조금 무겁고  모양이 조금 이쁘지 않다 색깔이 다양 했으면 좋겠다 크기도 조금 작았으면 함
",0,2,0,290,1,2022-09-02 16:11:25,141,0.3112845393
6Dy9fPd,AIRPU,LG,퓨리케어 오브제컬렉션 360° 공기청정기 알파 20평형 (일반 필터),AS202NS1AM,"장점 :
오토모드로 해놓을때 자기가 알아서 공기의 질에 다라 작동된다는게 최고고 가장 세게 돌아갈때의 소음도 전에 공기청정기에 비하면 그냥 엄청 조용한 수준이예요 화면 터치인것도 간편하고 가장 좋은점은 관리하는 방법이 너무 간단해요 !!

단점 :
아직까지 단점은 못느꼇는데 굳이 뽑는다면 조금 크다는것,,,? 근데 공기가 잘청정되려면 이정도 크기는 되어야한다고 봅니다 !!
",0,1,0,510,1,2022-09-02 16:18:11,141,0.6216534238
6Dy9fTk,AIRPU,코웨이,노블 공기청정기 20평형,AP-2021A,"장점 :
인테리어를 해치지않고
공기청정기능도 우수해요
유해공기가 유입되면 바로 작동되고
너무 좋아요
작은사이즈도 구입해서 방에 두려규요

단점 :
생각보다 크기가 커요
조금얇으면좋겠어요
그것말고는 공기청정으로 좋아요
",0,2,0,307,1,2022-09-02 16:52:31,141,0.3112845393
6Dy9fXz,BIDET,코웨이,더블케어 비데,BAS37-A,"장점 :
비데가 디자인 깔끔하고 버블세정이 잘돼서 위생적으로도 만족합니다.

단점 :
단점은 크게 뭐 없는거 같은데 렌탈비가 싼편은 아닙니다. 그래도 그전에 쓰던거에 비해 만족합니다.
",0,2,0,249,1,2022-09-02 20:50:40,141,-0.2033801676
6Dy9fc8,BIDET,SK매직,올클린 버블 살균 비데,BIDS36DR26WH,"장점 :
자동으로 노즐 청소기능이 있어 편리하고 도기 살균기능이 있어 좋아요. 

단점 :
단점은 아직까지 사용하는 동안  없네요. 사용하는데 불편한점은 없어요. 
",0,2,0,216,1,2022-09-16 14:20:25,139,-0.2051675758
6Dy9fkG,BIDET,SK매직,올클린 버블 세정 비데,BIDS38DR26WH,"장점 :
버블 세정도 되고 해서 더 깨끗하다는 느낌이 듭니다. 사용해보시면 알것 같아요.

단점 :
단점은 세정하는 시간이 1분정도 걸린다는 점인데 그정도는 감수해도 괜찮을것 같습니다.
",0,1,0,248,1,2022-10-07 18:46:57,136,-0.7675504687
6Dy9foW,AIRPU,SK매직,AI 공기청정기 30평형,ACL300VASKWH,"장점 :
제가 느끼기에는  소음이 거의 없고  불을 끄고 무드등  이라고 할까  불빛이 분위기가 있어서  정말 좋네요 잘 사용하고 있어요 감사합니다

단점 :
크기가 크고 좀  무거워서  주변청소  할때 왔다 갔다 옮기는데 좀 힘이 드네요 조긍만  작고 가벼웠으면
",0,2,0,344,1,2022-10-07 19:04:37,136,0.3182353686
6Dy9fsZ,AIRPU,코웨이,노블 공기청정기 15평형,AP-1521B,"장점 :
아 정말 잘 골랐다는  생각이 듭니다 다른말 필요 없습니다
꼭 추천해 드립니다

단점 :
아직은 없습니다 사용한지 오래 되지 않아서 없습니다 생각보다 잘 쓰고 있습니다
",0,1,0,235,1,2022-10-07 19:07:33,136,-0.7675504687
6Dy9fsc,BIDET,코웨이,스스로케어 비데 (BAS29-C),BAS29-C,"장점 :
비데를 처음 써봤는데 위생상으로 좋은거 같아요 일단 기분이 상쾌하고요

단점 :
가격이 조금 싸서 다양한 기능이 없습니다 딱 필요한 기능만 있구요 돈점 더 투자하시면 좋을듯
",0,2,0,246,1,2022-10-07 19:09:56,136,-0.2079215458
6Dy9fwh,AIRPU,코웨이,노블 공기청정기 15평형,AP-1521B,"장점 :
집이 항상 습하고 공기가 안좋아서 헛기침을 많이 했는데 정말 너무 너무 좋습니다 !!! 자동으로 해놓으면 잘때는 알아서 조용해지고 완젼 간편 !! 

단점 :
단점은 사이즈가 좀 크다는점 말고는 없는거 같아용 !!!!!!!!!!
",0,2,0,295,1,2022-10-07 19:31:17,136,0.3182353686
6Dy9fwn,BIDET,코웨이,더블케어 플러스 비데,BAS38-A,"장점 :
드라마틱하진 않지만 버블 워시 생각보다 훨씬 좋습니다. 신형이 최고네요

단점 :
물내리는 버튼이 없습니다. 일체형이 아니라 그런건지?불편하네요.
",0,2,0,209,1,2022-10-07 20:03:56,136,-0.2079215458
6Dy9g0p,AIRPU,코웨이,노블 공기청정기 15평형,AP-1521B,"장점 :
공기정화도 잘 되는 같습니다. 소음도 적고 디자인도 괜찬아요 주변 지인들에게 추천 합니다

단점 :
다른 공기처엉기에비해 약간 무게가 무거운거 같습니다.조금 가벼웠으면 하는생각이 드네요.
",0,2,0,268,1,2022-10-07 20:38:38,136,0.3182353686
6Dy9g0r,AIRPU,LG,퓨리케어 360° 공기청정기 플러스 19평형,AS191DWFRM,"장점 :
사무실에서 아무걱정없이 쓰기에 적당합니다.
직원들 복지에도 좋네요~

단점 :
부피가 어느정도 있으니 위치를 잘 선정할곳을 계획하여 구매하여야합니다
",0,2,0,216,1,2022-10-07 21:27:25,136,-0.2079215458
6Dy9wWq,AIRPU,코웨이,노블 공기청정기 15평형,AP-1521B,"장점 :
좋습니다 확실히 차이가나요ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅅ

단점 :
없어요ㅎㅅㅆㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ
",0,0,0,212,1,2022-10-09 23:17:10,135,-1.262601388
6Dy9wWs,BIDET,코웨이,스스로케어 비데 (BAS29-C),BAS29-C,"장점 :
살균 기능도 있고 크게 불편한 점 없이 잘 쓰고 있습니다. 추천드려요!ㅎ

단점 :
기본적인 기능이 다 있어서 불편한 점은 없습니다. 굳이 하나 꼽자면 물줄기가 조금 가는점?
",0,1,0,239,1,2022-10-11 14:38:25,135,-0.7710134805
6Dy9wau,FOOD_DISP,LG헬로비전,그린싱크D 음식물처리기 (22년 신모델),SH-7000A,"장점 :
설치 기사님 엄청 친절하셨음
미생물 분해 방식인데도 락스, 온수로 청소 가능한게 가장 큰 장점
전에 온수때문에 미생물 교체 여러번 했는데 이건 아직 한번도 안했는데 쌩쌩함

단점 :
아직은 잘 모르겠는데..
싱크대 아래 수납공간 비워줘야 하는거?
",0,0,0,341,1,2022-10-13 13:09:40,135,-0.7340705746
6Dy9wav,FOOD_DISP,LG헬로비전,그린싱크D 음식물처리기 (22년 신모델),SH-7000A,"장점 :
전 음식물처리기 처음 써보는데 신세계긴 하네요.
 설치도 이틀만에 해주셨어요~ 기사님도 친절하시고요

단점 :
개수대 사이즈 체크해보시는게 좋겠네요.
친정에도 똑같은거 주문 했는데 그 집은 개수대 사이즈가 작아서 안된대서 결국 다른 제품으로 했어요 ㅠ
",0,0,0,356,1,2022-10-13 13:09:40,135,-0.7340705746
6Dy9waw,FOOD_DISP,LG헬로비전,그린싱크D 음식물처리기 (22년 신모델),SH-7000A,"장점 :
전에는 독립형으로 사다가 베란다에 놓고 쓰다가.. 또 갖다버리는게 워낙 불편해서 바꿨어요
따로 버릴거 없으니까 확실히 편해요!
싱크형은 음식물 냄새 남는다는 이야기 많이 들었는데 전 차이 없는거 같네요

단점 :
싱크 빌트인 방식이라 하부장 못쓰는게 단점이겠네요.
그리고 이사갈때 다시 설치해야 하는거? 
근데 저는 다시 독립형으로 못돌아갈것 같아요 ㅋㅋ
",1,0,0,496,1,2022-10-13 13:09:40,135,0.9217036591
6Dy9wax,FOOD_DISP,LG헬로비전,그린싱크D 음식물처리기 (22년 신모델),SH-7000A,"장점 :
음식물 쓰레기 안버리니까 편해요… 진짜 너무 편해요
꼭 이거 아니라도 음식물처리기를 왜 진작 안했나 싶네요ㅋㅋ
1회 용량이 좀 애매한가 했는데 저희 집 기준에는 넉넉합니다

단점 :
처음이라 저희집에서는 싱크대 하부장에 타공 필요하다는걸 나중에 알았어요ㅠ 
외부에 보이는 것도 아니고 구멍이 크지도 않았습니다
",1,0,0,438,1,2022-10-13 13:09:40,135,0.9217036591
6Dy9way,FOOD_DISP,LG헬로비전,그린싱크D 음식물처리기 (22년 신모델),SH-7000A,"장점 :
미생물 발효 + 싱크대 빌트인 인데 세척이 편하다고 해서 이 제품으로 했어요.
이전에 다른 음식물처리기 써보셨으면 아실거에요
삼성이나 엘지같은 브랜드로 해야하나도 고민했는데 일단은 만족이에요

단점 :
굳이 꼽자면 작동 시작할때 분쇄할때 약간 소음이 있긴 있음.
한 30초정도?
근데 신경쓸 정도인가 싶네요.
갈아야 한다고 해서 믹서기 같은 소리 각오했는데 절~대 그정도 아님
",2,0,0,520,1,2022-10-13 13:09:40,135,1.927042804
